,Predictions,FileNames
0,disgust,03-01-08-02-01-01-06.wav
1,disgust,03-01-01-01-02-01-16.wav
2,calm,03-01-08-01-02-02-13.wav
3,angry,03-01-05-02-02-01-24.wav
4,happy,03-01-03-02-01-02-07.wav
5,calm,03-01-08-01-02-01-15.wav
6,disgust,03-01-08-01-02-01-19.wav
7,calm,03-01-03-01-01-01-09.wav
8,surprised,03-01-08-01-01-02-02.wav
9,disgust,03-01-05-01-01-02-19.wav
10,calm,03-01-02-02-02-02-12.wav
11,angry,03-01-05-02-02-02-08.wav
12,disgust,03-01-08-02-01-02-16.wav
13,calm,03-01-02-02-01-02-11.wav
14,disgust,03-01-07-01-02-01-19.wav
15,angry,03-01-05-02-01-02-22.wav
16,calm,03-01-07-01-02-01-14.wav
17,calm,03-01-08-02-01-01-01.wav
18,disgust,03-01-02-02-02-02-22.wav
19,happy,03-01-03-01-01-01-06.wav
20,disgust,03-01-03-01-01-01-12.wav
21,surprised,03-01-08-01-02-01-16.wav
22,disgust,03-01-07-01-01-01-01.wav
23,happy,03-01-03-01-01-01-15.wav
24,calm,03-01-01-01-02-01-02.wav
25,disgust,03-01-02-01-01-01-08.wav
26,happy,03-01-08-02-01-02-03.wav
27,neutral,03-01-03-01-02-01-20.wav
28,neutral,03-01-08-01-01-01-18.wav
29,disgust,03-01-03-01-01-01-16.wav
30,disgust,03-01-05-01-02-02-20.wav
31,angry,03-01-03-02-01-02-17.wav
32,surprised,03-01-08-02-02-02-24.wav
33,calm,03-01-05-01-02-01-20.wav
34,calm,03-01-02-02-02-01-12.wav
35,angry,03-01-05-02-02-02-16.wav
36,surprised,03-01-08-01-02-02-24.wav
37,calm,03-01-02-01-02-02-11.wav
38,disgust,03-01-08-02-01-02-07.wav
39,calm,03-01-01-01-02-02-01.wav
40,disgust,03-01-08-01-01-01-05.wav
41,disgust,03-01-07-01-01-01-21.wav
42,disgust,03-01-07-01-01-02-03.wav
43,disgust,03-01-01-01-01-01-23.wav
44,calm,03-01-03-01-02-01-05.wav
45,happy,03-01-03-02-02-02-15.wav
46,happy,03-01-05-01-01-02-20.wav
47,calm,03-01-01-01-01-02-24.wav
48,calm,03-01-01-01-01-02-14.wav
49,calm,03-01-01-01-02-01-15.wav
50,angry,03-01-05-02-02-01-14.wav
51,disgust,03-01-02-02-01-01-07.wav
52,disgust,03-01-01-01-01-02-18.wav
53,calm,03-01-02-01-01-01-22.wav
54,happy,03-01-03-02-02-02-02.wav
55,happy,03-01-02-02-02-02-03.wav
56,surprised,03-01-08-02-01-01-18.wav
57,happy,03-01-03-02-01-02-04.wav
58,disgust,03-01-05-01-01-02-13.wav
59,disgust,03-01-07-02-02-01-12.wav
60,disgust,03-01-08-01-01-01-13.wav
61,happy,03-01-03-02-01-01-07.wav
62,disgust,03-01-05-01-02-02-22.wav
63,calm,03-01-03-01-01-01-23.wav
64,disgust,03-01-08-02-01-02-22.wav
65,angry,03-01-05-01-02-01-23.wav
66,disgust,03-01-07-02-02-01-21.wav
67,calm,03-01-07-01-01-01-23.wav
68,disgust,03-01-05-01-01-01-10.wav
69,happy,03-01-03-02-01-01-08.wav
70,disgust,03-01-07-02-01-02-03.wav
71,disgust,03-01-05-01-02-01-02.wav
72,calm,03-01-02-02-02-01-19.wav
73,disgust,03-01-05-01-02-01-14.wav
74,surprised,03-01-08-01-01-02-11.wav
75,calm,03-01-03-01-02-02-13.wav
76,calm,03-01-02-02-02-02-19.wav
77,disgust,03-01-07-02-02-02-13.wav
78,calm,03-01-03-01-02-02-16.wav
79,happy,03-01-08-01-01-01-15.wav
80,angry,03-01-05-02-01-01-03.wav
81,calm,03-01-02-01-01-02-21.wav
82,disgust,03-01-01-01-02-01-08.wav
83,disgust,03-01-07-02-01-02-14.wav
84,disgust,03-01-03-01-01-01-22.wav
85,calm,03-01-01-01-02-02-12.wav
86,angry,03-01-07-02-02-02-18.wav
87,disgust,03-01-07-01-02-01-10.wav
88,disgust,03-01-03-01-02-02-14.wav
89,surprised,03-01-08-02-01-01-11.wav
90,calm,03-01-02-02-02-02-01.wav
91,calm,03-01-07-01-01-02-02.wav
92,disgust,03-01-01-01-02-02-15.wav
93,disgust,03-01-08-02-02-01-16.wav
94,disgust,03-01-03-01-02-02-22.wav
95,disgust,03-01-02-02-01-02-16.wav
96,happy,03-01-07-02-02-02-24.wav
97,neutral,03-01-02-02-01-02-18.wav
98,disgust,03-01-07-02-02-02-03.wav
99,disgust,03-01-08-01-01-01-06.wav
100,calm,03-01-02-01-01-02-05.wav
101,calm,03-01-01-01-01-02-17.wav
102,angry,03-01-05-01-01-02-07.wav
103,disgust,03-01-01-01-02-02-16.wav
104,disgust,03-01-08-02-01-02-19.wav
105,calm,03-01-02-01-01-01-03.wav
106,calm,03-01-07-01-02-01-06.wav
107,disgust,03-01-05-01-02-01-03.wav
108,happy,03-01-03-02-02-02-03.wav
109,calm,03-01-08-02-01-02-13.wav
110,calm,03-01-02-01-02-01-11.wav
111,calm,03-01-02-02-01-02-14.wav
112,neutral,03-01-03-01-02-02-08.wav
113,angry,03-01-05-02-01-02-05.wav
114,disgust,03-01-01-01-01-02-04.wav
115,calm,03-01-05-01-02-02-17.wav
116,disgust,03-01-08-02-02-02-13.wav
117,calm,03-01-01-01-01-02-15.wav
118,disgust,03-01-02-02-01-02-22.wav
119,disgust,03-01-03-02-01-02-24.wav
120,calm,03-01-02-02-02-01-20.wav
121,calm,03-01-03-01-01-02-24.wav
122,neutral,03-01-03-01-02-01-02.wav
123,calm,03-01-08-02-02-02-09.wav
124,angry,03-01-05-02-01-02-01.wav
125,disgust,03-01-01-01-01-01-22.wav
126,happy,03-01-03-01-02-01-10.wav
127,calm,03-01-08-01-02-02-09.wav
128,disgust,03-01-08-01-01-01-07.wav
129,happy,03-01-03-02-01-02-09.wav
130,disgust,03-01-07-02-02-02-08.wav
131,disgust,03-01-07-01-01-01-16.wav
132,disgust,03-01-03-02-02-02-19.wav
133,calm,03-01-01-01-01-01-09.wav
134,calm,03-01-02-02-01-01-04.wav
135,angry,03-01-05-01-01-01-24.wav
136,angry,03-01-05-02-01-02-11.wav
137,disgust,03-01-03-01-02-01-16.wav
138,calm,03-01-01-01-01-01-19.wav
139,angry,03-01-05-02-01-01-24.wav
140,calm,03-01-02-01-02-02-14.wav
141,happy,03-01-03-02-02-02-23.wav
142,neutral,03-01-03-01-02-01-08.wav
143,disgust,03-01-03-02-02-02-09.wav
144,happy,03-01-07-02-01-02-04.wav
145,disgust,03-01-07-01-02-01-15.wav
146,disgust,03-01-07-01-02-02-21.wav
147,disgust,03-01-08-01-01-02-03.wav
148,angry,03-01-03-02-02-02-16.wav
149,calm,03-01-08-02-01-01-13.wav
150,calm,03-01-02-02-01-01-06.wav
151,calm,03-01-02-02-02-02-09.wav
152,happy,03-01-03-02-01-02-08.wav
153,calm,03-01-02-02-01-02-08.wav
154,disgust,03-01-03-01-01-02-20.wav
155,disgust,03-01-03-01-01-01-11.wav
156,angry,03-01-08-02-01-02-01.wav
157,happy,03-01-03-02-02-01-05.wav
158,disgust,03-01-01-01-02-02-18.wav
159,disgust,03-01-08-01-01-02-14.wav
160,neutral,03-01-03-01-01-01-02.wav
161,disgust,03-01-08-02-01-01-20.wav
162,angry,03-01-03-02-02-01-23.wav
163,happy,03-01-03-02-01-02-01.wav
164,calm,03-01-02-02-01-02-06.wav
165,happy,03-01-03-02-01-02-10.wav
166,calm,03-01-02-02-02-01-24.wav
167,calm,03-01-02-01-01-01-07.wav
168,disgust,03-01-07-01-01-01-08.wav
169,angry,03-01-05-02-02-01-18.wav
170,calm,03-01-01-01-02-01-13.wav
171,happy,03-01-03-02-02-01-08.wav
172,angry,03-01-05-01-02-02-23.wav
173,happy,03-01-03-02-01-01-03.wav
174,disgust,03-01-03-02-02-02-01.wav
175,disgust,03-01-07-01-02-01-18.wav
176,happy,03-01-08-02-01-02-17.wav
177,angry,03-01-07-02-01-01-07.wav
178,disgust,03-01-08-01-01-01-08.wav
179,calm,03-01-08-01-01-02-13.wav
180,disgust,03-01-08-01-01-02-17.wav
181,surprised,03-01-08-01-01-02-24.wav
182,surprised,03-01-07-02-02-01-10.wav
183,angry,03-01-07-01-01-02-24.wav
184,angry,03-01-05-02-02-01-17.wav
185,calm,03-01-02-02-01-01-13.wav
186,disgust,03-01-08-01-01-01-19.wav
187,disgust,03-01-01-01-01-02-22.wav
188,calm,03-01-01-01-01-02-02.wav
189,disgust,03-01-07-01-02-02-01.wav
190,disgust,03-01-02-01-02-01-16.wav
191,calm,03-01-02-01-01-02-23.wav
192,angry,03-01-05-02-02-02-11.wav
193,happy,03-01-03-02-01-02-02.wav
194,disgust,03-01-03-01-01-02-17.wav
195,disgust,03-01-03-02-02-01-07.wav
196,disgust,03-01-05-01-02-01-11.wav
197,happy,03-01-03-02-01-02-18.wav
198,angry,03-01-05-02-02-01-23.wav
199,calm,03-01-01-01-02-02-11.wav
200,calm,03-01-07-02-02-01-02.wav
201,disgust,03-01-03-02-02-01-01.wav
202,disgust,03-01-07-01-02-02-23.wav
203,disgust,03-01-07-01-01-01-20.wav
204,calm,03-01-02-02-02-02-02.wav
205,disgust,03-01-07-02-02-02-14.wav
206,disgust,03-01-08-01-02-02-14.wav
207,angry,03-01-03-02-01-01-21.wav
208,disgust,03-01-05-01-02-02-11.wav
209,happy,03-01-05-02-01-02-02.wav
210,disgust,03-01-08-01-02-01-18.wav
211,calm,03-01-02-01-01-02-14.wav
212,disgust,03-01-08-01-02-02-20.wav
213,angry,03-01-03-02-01-01-16.wav
214,happy,03-01-08-02-02-02-23.wav
215,disgust,03-01-05-01-02-01-13.wav
216,disgust,03-01-03-02-01-02-13.wav
217,calm,03-01-02-01-01-01-06.wav
218,surprised,03-01-08-01-01-01-10.wav
219,disgust,03-01-05-01-01-01-23.wav
220,disgust,03-01-07-02-01-02-21.wav
221,happy,03-01-08-02-01-01-23.wav
222,disgust,03-01-07-02-01-02-01.wav
223,disgust,03-01-07-02-01-01-22.wav
224,disgust,03-01-05-01-01-02-15.wav
225,disgust,03-01-08-01-02-01-05.wav
226,happy,03-01-07-02-01-01-15.wav
227,disgust,03-01-05-01-01-02-22.wav
228,calm,03-01-02-01-01-01-02.wav
229,calm,03-01-02-02-02-02-11.wav
230,disgust,03-01-07-02-01-01-03.wav
231,surprised,03-01-08-01-02-01-08.wav
232,disgust,03-01-07-02-01-02-20.wav
233,calm,03-01-01-01-02-01-20.wav
234,disgust,03-01-05-01-01-01-18.wav
235,disgust,03-01-07-01-01-01-04.wav
236,angry,03-01-05-02-01-01-13.wav
237,happy,03-01-08-02-02-01-23.wav
238,disgust,03-01-08-01-01-02-06.wav
239,calm,03-01-05-01-01-01-20.wav
240,disgust,03-01-03-01-02-02-21.wav
241,disgust,03-01-08-01-02-01-17.wav
242,angry,03-01-05-02-02-01-12.wav
243,happy,03-01-07-02-01-01-06.wav
244,calm,03-01-03-01-01-01-04.wav
245,calm,03-01-07-01-02-01-23.wav
246,calm,03-01-02-02-01-02-20.wav
247,disgust,03-01-07-02-01-01-05.wav
248,disgust,03-01-03-01-01-02-10.wav
249,calm,03-01-08-02-02-01-15.wav
250,angry,03-01-05-02-02-02-06.wav
251,happy,03-01-03-02-02-02-04.wav
252,disgust,03-01-07-01-01-01-19.wav
253,calm,03-01-01-01-02-02-17.wav
254,happy,03-01-02-02-02-01-03.wav
255,disgust,03-01-08-02-02-01-19.wav
256,disgust,03-01-07-02-02-02-12.wav
257,surprised,03-01-08-01-02-01-10.wav
258,happy,03-01-03-02-02-01-09.wav
259,angry,03-01-05-02-01-02-20.wav
260,angry,03-01-03-02-01-02-21.wav
261,disgust,03-01-07-02-01-01-16.wav
262,disgust,03-01-03-01-01-02-22.wav
263,calm,03-01-08-01-02-02-08.wav
